,user_id,gender
0,150376638,1
1,150694282,1
2,150694521,1
3,152467510,1
4,151514794,1
5,162548229,1
6,120980992,1
7,162285430,1
8,162771175,1
9,171401283,1
10,171525059,1
11,162576115,1
12,162801685,1
13,175437839,0
14,162824840,1
15,152471424,1
16,162286683,1
17,162286860,1
18,163607828,1
19,162480474,1
21,150376555,1
22,150376557,1
23,150376623,1
24,99674801,1
25,150376639,1
26,150694103,0
27,62447542,1
28,162435975,0
29,171356134,0
30,162688930,1
31,162770975,0
32,162480538,0
33,171525804,1
34,163195246,1
35,150678697,1
36,163564288,1
37,175155131,1
38,150291142,1
39,162515629,0
40,87442823,1
42,149373218,1
43,149373220,1
44,149373226,1
45,149373251,0
46,149373252,0
47,149373258,0
48,149373259,1
49,149373263,1
50,149373264,0
51,150376636,1
52,150422526,1
53,150694330,1
54,151669776,0
55,162428174,0
56,162479738,1
57,195757601,1
58,162545128,1
59,163603924,1
60,149373219,0
61,149373221,1
62,149373223,1
63,149373227,1
64,149373230,0
65,149373233,0
66,149373249,1
67,149373260,1
68,150422502,1
69,162439469,1
70,162466733,1
71,150633446,1
72,162433572,0
73,162433510,1
74,162438997,0
75,150540316,0
76,162482738,1
77,162480094,1
78,150593548,1
79,162482680,0
80,123241611,0
81,149373222,1
82,149373224,0
83,149373228,0
84,149373231,1
85,149373255,1
86,149373256,1
87,149373262,0
88,150422450,1
89,150422451,0
90,150422504,1
91,162518320,0
92,195739489,0
93,162460206,0
94,162479737,0
95,120592645,0
96,162432097,1
97,152050652,0
98,162482369,0
99,157841020,0
100,149373217,0
101,149373225,1
102,149373232,0
103,149373254,1
104,149373257,0
105,149373261,0
106,149728985,0
107,150284942,0
108,150422460,0
109,162427977,1
110,171357277,1
111,162886962,0
112,150558618,0
113,162433776,0
114,162441156,1
115,162459878,1
116,120592380,0
117,162710667,0
118,162702625,1
119,162425645,0
120,75369134,0
121,149373331,0
122,149373333,0
123,149373343,0
124,149373346,1
125,150422454,0
126,171357260,1
127,171357264,1
128,171907342,0
129,162480396,0
130,162480358,0
131,162480028,0
132,162481567,0
133,171969121,0
134,162483073,0
135,162423135,0
136,162809545,0
137,162480402,0
138,162858236,0
139,162480693,0
140,132400080,0
141,149373358,1
142,150143181,0
143,150422457,0
144,150422459,0
145,163735468,0
147,171907753,0
148,171966191,0
149,162413384,0
150,171975546,1
151,172351941,0
152,162479699,0
153,162575625,0
154,162440825,0
155,162434621,0
156,162423759,0
157,145165285,0
158,196606400,0
159,151057307,1
161,149373347,1
162,149373355,1
163,149375966,1
164,149375985,0
165,149375990,1
166,150284928,1
167,150284929,0
